PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Apr 07 2020,M,1,4,8,13,15,25,27,28,35,45,48,49,50,51,54,58,62,67,68,70
Apr 06 2020,M,2,3,8,13,14,20,31,34,37,40,47,51,53,55,57,58,62,66,67,68
Apr 05 2020,M,6,10,16,19,24,28,33,34,38,40,41,44,46,48,51,53,56,58,59,63
Apr 04 2020,M,2,3,6,8,12,15,18,20,21,26,34,35,47,48,51,53,54,56,57,69
Apr 03 2020,M,1,2,3,4,5,6,7,9,10,21,24,27,44,45,54,55,56,63,66,67
Apr 02 2020,M,6,11,15,18,24,31,32,33,35,36,42,45,46,47,51,52,54,62,63,64
Apr 01 2020,M,5,8,10,19,20,27,28,29,32,34,36,40,41,42,51,59,60,64,67,68
Mar 31 2020,M,9,12,17,20,23,28,30,32,34,37,38,39,41,48,56,57,61,67,68,70
Mar 30 2020,M,11,18,21,27,30,32,36,37,41,46,49,55,56,60,61,64,65,67,68,69
Mar 29 2020,M,3,5,6,12,16,20,24,28,29,38,42,43,45,46,47,58,59,60,64,66
Mar 28 2020,M,1,7,17,20,21,32,35,37,38,40,42,46,47,50,54,55,56,59,61,62
Mar 27 2020,M,1,3,5,6,10,13,14,19,23,28,31,33,39,49,51,58,62,63,68,69
